carbos	Carburante / Carburante
dynamax-crystal-eri874	★Eri874 / ★Eri874
dynamax-crystal-eri1298	★Eri1298 / ★Eri1298
dynamax-crystal-eri1325	★Eri1325 / ★Eri1325
dynamax-crystal-eri984	★Eri984 / ★Eri984
dynamax-crystal-eri1464	★Eri1464 / ★Eri1464
dynamax-crystal-eri1393	★Eri1393 / ★Eri1393
dynamax-crystal-eri850	★Eri850 / ★Eri850
dynamax-crystal-tau1409	★Tau1409 / ★Tau1409
dynamax-crystal-tau1457	★Tau1457 / ★Tau1457
dynamax-crystal-tau1165	★Tau1165 / ★Tau1165
dynamax-crystal-tau1791	★Tau1791 / ★Tau1791
dynamax-crystal-tau1910	★Tau1910 / ★Tau1910
dynamax-crystal-tau1346	★Tau1346 / ★Tau1346
dynamax-crystal-tau1373	★Tau1373 / ★Tau1373
dynamax-crystal-tau1412	★Tau1412 / ★Tau1412
dynamax-crystal-cma2491	★CMa2491 / ★CMa2491
dynamax-crystal-cma2693	★CMa2693 / ★CMa2693
dynamax-crystal-cma2294	★CMa2294 / ★CMa2294
dynamax-crystal-cma2827	★CMa2827 / ★CMa2827
dynamax-crystal-cma2282	★CMa2282 / ★CMa2282
dynamax-crystal-cma2618	★CMa2618 / ★CMa2618
dynamax-crystal-cma2657	★CMa2657 / ★CMa2657
dynamax-crystal-cma2646	★CMa2646 / ★CMa2646
dynamax-crystal-uma4905	★UMa4905 / ★UMa4905
dynamax-crystal-uma4301	★UMa4301 / ★UMa4301
dynamax-crystal-uma5191	★UMa5191 / ★UMa5191
dynamax-crystal-uma5054	★UMa5054 / ★UMa5054
dynamax-crystal-uma4295	★UMa4295 / ★UMa4295
dynamax-crystal-uma4660	★UMa4660 / ★UMa4660
dynamax-crystal-uma4554	★UMa4554 / ★UMa4554
dynamax-crystal-uma4069	★UMa4069 / ★UMa4069
dynamax-crystal-uma3569	★UMa3569 / ★UMa3569
dynamax-crystal-uma3323	★UMa3323 / ★UMa3323
dynamax-crystal-uma4033	★UMa4033 / ★UMa4033
dynamax-crystal-uma4377	★UMa4377 / ★UMa4377
dynamax-crystal-uma4375	★UMa4375 / ★UMa4375
dynamax-crystal-uma4518	★UMa4518 / ★UMa4518
dynamax-crystal-uma3594	★UMa3594 / ★UMa3594
dynamax-crystal-vir5056	★Vir5056 / ★Vir5056
dynamax-crystal-vir4825	★Vir4825 / ★Vir4825
dynamax-crystal-vir4932	★Vir4932 / ★Vir4932
dynamax-crystal-vir4540	★Vir4540 / ★Vir4540
dynamax-crystal-vir4689	★Vir4689 / ★Vir4689
dynamax-crystal-vir5338	★Vir5338 / ★Vir5338
dynamax-crystal-vir4910	★Vir4910 / ★Vir4910
dynamax-crystal-vir5315	★Vir5315 / ★Vir5315
dynamax-crystal-vir5359	★Vir5359 / ★Vir5359
dynamax-crystal-vir5409	★Vir5409 / ★Vir5409
dynamax-crystal-vir5107	★Vir5107 / ★Vir5107
dynamax-crystal-ari617	★Ari617 / ★Ari617
dynamax-crystal-ari553	★Ari553 / ★Ari553
dynamax-crystal-ari546	★Ari546 / ★Ari546
dynamax-crystal-ari951	★Ari951 / ★Ari951
dynamax-crystal-ori1713	★Ori1713 / ★Ori1713
dynamax-crystal-ori2061	★Ori2061 / ★Ori2061
dynamax-crystal-ori1790	★Ori1790 / ★Ori1790
dynamax-crystal-ori1903	★Ori1903 / ★Ori1903
dynamax-crystal-ori1948	★Ori1948 / ★Ori1948
dynamax-crystal-ori2004	★Ori2004 / ★Ori2004
dynamax-crystal-ori1852	★Ori1852 / ★Ori1852
dynamax-crystal-ori1879	★Ori1879 / ★Ori1879
dynamax-crystal-ori1899	★Ori1899 / ★Ori1899
dynamax-crystal-ori1543	★Ori1543 / ★Ori1543
dynamax-crystal-cas21	★Cas21 / ★Cas21
dynamax-crystal-cas168	★Cas168 / ★Cas168
dynamax-crystal-cas403	★Cas403 / ★Cas403
dynamax-crystal-cas153	★Cas153 / ★Cas153
dynamax-crystal-cas542	★Cas542 / ★Cas542
dynamax-crystal-cas219	★Cas219 / ★Cas219
dynamax-crystal-cas265	★Cas265 / ★Cas265
dynamax-crystal-cnc3572	★Cnc3572 / ★Cnc3572
dynamax-crystal-cnc3208	★Cnc3208 / ★Cnc3208
dynamax-crystal-cnc3461	★Cnc3461 / ★Cnc3461
dynamax-crystal-cnc3449	★Cnc3449 / ★Cnc3449
dynamax-crystal-cnc3429	★Cnc3429 / ★Cnc3429
dynamax-crystal-cnc3627	★Cnc3627 / ★Cnc3627
dynamax-crystal-cnc3268	★Cnc3268 / ★Cnc3268
dynamax-crystal-cnc3249	★Cnc3249 / ★Cnc3249
dynamax-crystal-com4968	★Com4968 / ★Com4968
dynamax-crystal-crv4757	★Crv4757 / ★Crv4757
dynamax-crystal-crv4623	★Crv4623 / ★Crv4623
dynamax-crystal-crv4662	★Crv4662 / ★Crv4662
dynamax-crystal-crv4786	★Crv4786 / ★Crv4786
dynamax-crystal-aur1708	★Aur1708 / ★Aur1708
dynamax-crystal-aur2088	★Aur2088 / ★Aur2088
dynamax-crystal-aur1605	★Aur1605 / ★Aur1605
dynamax-crystal-aur2095	★Aur2095 / ★Aur2095
dynamax-crystal-aur1577	★Aur1577 / ★Aur1577
dynamax-crystal-aur1641	★Aur1641 / ★Aur1641
dynamax-crystal-aur1612	★Aur1612 / ★Aur1612
dynamax-crystal-pav7790	★Pav7790 / ★Pav7790
dynamax-crystal-cet911	★Cet911 / ★Cet911
dynamax-crystal-cet681	★Cet681 / ★Cet681
dynamax-crystal-cet188	★Cet188 / ★Cet188
dynamax-crystal-cet539	★Cet539 / ★Cet539
dynamax-crystal-cet804	★Cet804 / ★Cet804
dynamax-crystal-cep8974	★Cep8974 / ★Cep8974
dynamax-crystal-cep8162	★Cep8162 / ★Cep8162
dynamax-crystal-cep8238	★Cep8238 / ★Cep8238
dynamax-crystal-cep8417	★Cep8417 / ★Cep8417
dynamax-crystal-cen5267	★Cen5267 / ★Cen5267
dynamax-crystal-cen5288	★Cen5288 / ★Cen5288
dynamax-crystal-cen551	★Cen551 / ★Cen551
dynamax-crystal-cen5459	★Cen5459 / ★Cen5459
dynamax-crystal-cen5460	★Cen5460 / ★Cen5460
dynamax-crystal-cmi2943	★CMi2943 / ★CMi2943
dynamax-crystal-cmi2845	★CMi2845 / ★CMi2845
dynamax-crystal-equ8131	★Equ8131 / ★Equ8131
dynamax-crystal-vul7405	★Vul7405 / ★Vul7405
dynamax-crystal-umi424	★UMi424 / ★UMi424
dynamax-crystal-umi5563	★UMi5563 / ★UMi5563
dynamax-crystal-umi5735	★UMi5735 / ★UMi5735
dynamax-crystal-umi6789	★UMi6789 / ★UMi6789
dynamax-crystal-crt4287	★Crt4287 / ★Crt4287
dynamax-crystal-lyr7001	★Lyr7001 / ★Lyr7001
dynamax-crystal-lyr7178	★Lyr7178 / ★Lyr7178
dynamax-crystal-lyr7106	★Lyr7106 / ★Lyr7106
dynamax-crystal-lyr7298	★Lyr7298 / ★Lyr7298
dynamax-crystal-ara6585	★Ara6585 / ★Ara6585
dynamax-crystal-sco6134	★Sco6134 / ★Sco6134
dynamax-crystal-sco6527	★Sco6527 / ★Sco6527
dynamax-crystal-sco6553	★Sco6553 / ★Sco6553
dynamax-crystal-sco5953	★Sco5953 / ★Sco5953
dynamax-crystal-sco5984	★Sco5984 / ★Sco5984
dynamax-crystal-sco6508	★Sco6508 / ★Sco6508
dynamax-crystal-sco6084	★Sco6084 / ★Sco6084
dynamax-crystal-sco5944	★Sco5944 / ★Sco5944
dynamax-crystal-sco6630	★Sco6630 / ★Sco6630
dynamax-crystal-sco6027	★Sco6027 / ★Sco6027
dynamax-crystal-sco6247	★Sco6247 / ★Sco6247
dynamax-crystal-sco6252	★Sco6252 / ★Sco6252
dynamax-crystal-sco5928	★Sco5928 / ★Sco5928
dynamax-crystal-sco6241	★Sco6241 / ★Sco6241
dynamax-crystal-sco6165	★Sco6165 / ★Sco6165
dynamax-crystal-tri544	★Tri544 / ★Tri544
dynamax-crystal-leo3982	★Leo3982 / ★Leo3982
dynamax-crystal-leo4534	★Leo4534 / ★Leo4534
dynamax-crystal-leo4357	★Leo4357 / ★Leo4357
dynamax-crystal-leo4057	★Leo4057 / ★Leo4057
dynamax-crystal-leo4359	★Leo4359 / ★Leo4359
dynamax-crystal-leo4031	★Leo4031 / ★Leo4031
dynamax-crystal-leo3852	★Leo3852 / ★Leo3852
dynamax-crystal-leo3905	★Leo3905 / ★Leo3905
dynamax-crystal-leo3773	★Leo3773 / ★Leo3773
dynamax-crystal-gru8425	★Gru8425 / ★Gru8425
dynamax-crystal-gru8636	★Gru8636 / ★Gru8636
dynamax-crystal-gru8353	★Gru8353 / ★Gru8353
dynamax-crystal-lib5685	★Lib5685 / ★Lib5685
dynamax-crystal-lib5531	★Lib5531 / ★Lib5531
dynamax-crystal-lib5787	★Lib5787 / ★Lib5787
dynamax-crystal-lib5603	★Lib5603 / ★Lib5603
dynamax-crystal-pup3165	★Pup3165 / ★Pup3165
dynamax-crystal-pup3185	★Pup3185 / ★Pup3185
dynamax-crystal-pup3045	★Pup3045 / ★Pup3045
dynamax-crystal-cyg7924	★Cyg7924 / ★Cyg7924
dynamax-crystal-cyg7417	★Cyg7417 / ★Cyg7417
dynamax-crystal-cyg7796	★Cyg7796 / ★Cyg7796
dynamax-crystal-cyg8301	★Cyg8301 / ★Cyg8301
dynamax-crystal-cyg7949	★Cyg7949 / ★Cyg7949
dynamax-crystal-cyg7528	★Cyg7528 / ★Cyg7528
dynamax-crystal-oct7228	★Oct7228 / ★Oct7228
dynamax-crystal-col1956	★Col1956 / ★Col1956
dynamax-crystal-col2040	★Col2040 / ★Col2040
dynamax-crystal-col2177	★Col2177 / ★Col2177
dynamax-crystal-gem2990	★Gem2990 / ★Gem2990
dynamax-crystal-gem2891	★Gem2891 / ★Gem2891
dynamax-crystal-gem2421	★Gem2421 / ★Gem2421
dynamax-crystal-gem2473	★Gem2473 / ★Gem2473
dynamax-crystal-gem2216	★Gem2216 / ★Gem2216
dynamax-crystal-gem2777	★Gem2777 / ★Gem2777
dynamax-crystal-gem2650	★Gem2650 / ★Gem2650
dynamax-crystal-gem2286	★Gem2286 / ★Gem2286
dynamax-crystal-gem2484	★Gem2484 / ★Gem2484
dynamax-crystal-gem2930	★Gem2930 / ★Gem2930
dynamax-crystal-peg8775	★Peg8775 / ★Peg8775
dynamax-crystal-peg8781	★Peg8781 / ★Peg8781
dynamax-crystal-peg39	★Peg39 / ★Peg39
dynamax-crystal-peg8308	★Peg8308 / ★Peg8308
dynamax-crystal-peg8650	★Peg8650 / ★Peg8650
dynamax-crystal-peg8634	★Peg8634 / ★Peg8634
dynamax-crystal-peg8684	★Peg8684 / ★Peg8684
dynamax-crystal-peg8450	★Peg8450 / ★Peg8450
dynamax-crystal-peg8880	★Peg8880 / ★Peg8880
dynamax-crystal-peg8905	★Peg8905 / ★Peg8905
dynamax-crystal-oph6556	★Oph6556 / ★Oph6556
dynamax-crystal-oph6378	★Oph6378 / ★Oph6378
dynamax-crystal-oph6603	★Oph6603 / ★Oph6603
dynamax-crystal-oph6149	★Oph6149 / ★Oph6149
dynamax-crystal-oph6056	★Oph6056 / ★Oph6056
dynamax-crystal-oph6075	★Oph6075 / ★Oph6075
dynamax-crystal-ser5854	★Ser5854 / ★Ser5854
dynamax-crystal-ser7141	★Ser7141 / ★Ser7141
dynamax-crystal-ser5879	★Ser5879 / ★Ser5879
dynamax-crystal-her6406	★Her6406 / ★Her6406
dynamax-crystal-her6148	★Her6148 / ★Her6148
dynamax-crystal-her6410	★Her6410 / ★Her6410
dynamax-crystal-her6526	★Her6526 / ★Her6526
dynamax-crystal-her6117	★Her6117 / ★Her6117
dynamax-crystal-her6008	★Her6008 / ★Her6008
dynamax-crystal-per936	★Per936 / ★Per936
dynamax-crystal-per1017	★Per1017 / ★Per1017
dynamax-crystal-per1131	★Per1131 / ★Per1131
dynamax-crystal-per1228	★Per1228 / ★Per1228
dynamax-crystal-per834	★Per834 / ★Per834
dynamax-crystal-per941	★Per941 / ★Per941
dynamax-crystal-phe99	★Phe99 / ★Phe99
dynamax-crystal-phe338	★Phe338 / ★Phe338
dynamax-crystal-vel3634	★Vel3634 / ★Vel3634
dynamax-crystal-vel3485	★Vel3485 / ★Vel3485
dynamax-crystal-vel3734	★Vel3734 / ★Vel3734
dynamax-crystal-aqr8232	★Aqr8232 / ★Aqr8232
dynamax-crystal-aqr8414	★Aqr8414 / ★Aqr8414
dynamax-crystal-aqr8709	★Aqr8709 / ★Aqr8709
dynamax-crystal-aqr8518	★Aqr8518 / ★Aqr8518
dynamax-crystal-aqr7950	★Aqr7950 / ★Aqr7950
dynamax-crystal-aqr8499	★Aqr8499 / ★Aqr8499
dynamax-crystal-aqr8610	★Aqr8610 / ★Aqr8610
dynamax-crystal-aqr8264	★Aqr8264 / ★Aqr8264
dynamax-crystal-cru4853	★Cru4853 / ★Cru4853
dynamax-crystal-cru4730	★Cru4730 / ★Cru4730
dynamax-crystal-cru4763	★Cru4763 / ★Cru4763
dynamax-crystal-cru4700	★Cru4700 / ★Cru4700
dynamax-crystal-cru4656	★Cru4656 / ★Cru4656
dynamax-crystal-psa8728	★PsA8728 / ★PsA8728
dynamax-crystal-tra6217	★TrA6217 / ★TrA6217
dynamax-crystal-cap7776	★Cap7776 / ★Cap7776
dynamax-crystal-cap7754	★Cap7754 / ★Cap7754
dynamax-crystal-cap8278	★Cap8278 / ★Cap8278
dynamax-crystal-cap8322	★Cap8322 / ★Cap8322
dynamax-crystal-cap7773	★Cap7773 / ★Cap7773
dynamax-crystal-sge7479	★Sge7479 / ★Sge7479
dynamax-crystal-car2326	★Car2326 / ★Car2326
dynamax-crystal-car3685	★Car3685 / ★Car3685
dynamax-crystal-car3307	★Car3307 / ★Car3307
dynamax-crystal-car3699	★Car3699 / ★Car3699
dynamax-crystal-dra5744	★Dra5744 / ★Dra5744
dynamax-crystal-dra5291	★Dra5291 / ★Dra5291
dynamax-crystal-dra6705	★Dra6705 / ★Dra6705
dynamax-crystal-dra6536	★Dra6536 / ★Dra6536
dynamax-crystal-dra7310	★Dra7310 / ★Dra7310
dynamax-crystal-dra6688	★Dra6688 / ★Dra6688
dynamax-crystal-dra4434	★Dra4434 / ★Dra4434
dynamax-crystal-dra6370	★Dra6370 / ★Dra6370
dynamax-crystal-dra7462	★Dra7462 / ★Dra7462
dynamax-crystal-dra6396	★Dra6396 / ★Dra6396
dynamax-crystal-dra6132	★Dra6132 / ★Dra6132
dynamax-crystal-dra6636	★Dra6636 / ★Dra6636
dynamax-crystal-cvn4915	★CVn4915 / ★CVn4915
dynamax-crystal-cvn4785	★CVn4785 / ★CVn4785
dynamax-crystal-cvn4846	★CVn4846 / ★CVn4846
dynamax-crystal-aql7595	★Aql7595 / ★Aql7595
dynamax-crystal-aql7557	★Aql7557 / ★Aql7557
dynamax-crystal-aql7525	★Aql7525 / ★Aql7525
dynamax-crystal-aql7602	★Aql7602 / ★Aql7602
dynamax-crystal-aql7235	★Aql7235 / ★Aql7235
max-honey	Maxipanal / Maxipanal
style-card	Tarjeta Chic / Tarjeta Chic
armor-pass	Pase Armadura / Pase Armadura
exp-charm	Amuleto Exp / Amuleto Exp
armorite-ore	Duralium / Duralium
legendary-clue-1	Leyenda 1 / Leyenda 1
legendary-clue-2	Leyenda 2 / Leyenda 2
legendary-clue-3	Leyenda 3 / Leyenda 3
legendary-clue-question	Leyenda (?) / Leyenda (?)
crown-pass	Pase Corona / Pase Corona
carrot-seeds	Sem. Zanahoria / Sem. Zanahoria
adamant-crystal	
lustrous-globe	
griseous-core	
blank-plate	
strange-ball	
legend-plate	
rotom-phone	
sandwich	
koraidons-poke-ball	
miraidons-poke-ball	
tera-orb	
scarlet-book	
violet-book	
kofus-wallet	
tiny-bamboo-shoot	
big-bamboo-shoot	
scroll-of-darkness	
scroll-of-waters	
malicious-armor	
normal-tera-shard	
fire-tera-shard	
water-tera-shard	
electric-tera-shard	
grass-tera-shard	
ice-tera-shard	
fighting-tera-shard	
poison-tera-shard	
ground-tera-shard	
flying-tera-shard	
psychic-tera-shard	
bug-tera-shard	
rock-tera-shard	
ghost-tera-shard	
dragon-tera-shard	
dark-tera-shard	
steel-tera-shard	
fairy-tera-shard	
booster-energy	
ability-shield	
clear-amulet	
mirror-herb	
punching-glove	
covert-cloak	
loaded-dice	
baguette	
mayonnaise	
ketchup	
mustard	
butter	
peanut-butter	
chili-sauce	
salt	
pepper	
yogurt	
whipped-cream	
cream-cheese	
jam	
marmalade	
olive-oil	
vinegar	
sweet-herba-mystica	
salty-herba-mystica	
sour-herba-mystica	
bitter-herba-mystica	
spicy-herba-mystica	
lettuce	
tomato	
cherry-tomatoes	
cucumber	
pickle	
onion	
red-onion	
green-bell-pepper	
red-bell-pepper	
yellow-bell-pepper	
avocado	
bacon	
ham	
prosciutto	
chorizo	
herbed-sausage	
hamburger	
klawf-stick	
smoked-fillet	
fried-fillet	
egg	
potato-tortilla	
tofu	
rice	
noodles	
potato-salad	
cheese	
banana	
strawberry	
apple	
kiwi	
pineapple	
jalapeno	
horseradish	
curry-powder	
wasabi	
watercress	
basil	
venonat-fang	
diglett-dirt	
meowth-fur	
psyduck-down	
mankey-fur	
growlithe-fur	
slowpoke-claw	
magnemite-screw	
grimer-toxin	
shellder-pearl	
gastly-gas	
drowzee-fur	
voltorb-sparks	
scyther-claw	
tauros-hair	
magikarp-scales	
ditto-goo	
eevee-fur	
dratini-scales	
pichu-fur	
igglybuff-fluff	
mareep-wool	
hoppip-leaf	
sunkern-leaf	
murkrow-bauble	
misdreavus-tears	
girafarig-fur	
pineco-husk	
dunsparce-scales	
qwilfish-spines	
heracross-claw	
sneasel-claw	
teddiursa-claw	
delibird-parcel	
houndour-fang	
phanpy-nail	
stantler-hair	
larvitar-claw	
wingull-feather	
ralts-dust	
surskit-syrup	
shroomish-spores	
slakoth-fur	
makuhita-sweat	
azurill-fur	
sableye-gem	
meditite-sweat	
gulpin-mucus	
numel-lava	
torkoal-coal	
spoink-pearl	
cacnea-needle	
swablu-fluff	
zangoose-claw	
seviper-fang	
barboach-slime	
shuppet-scrap	
tropius-leaf	
snorunt-fur	
luvdisc-scales	
bagon-scales	
starly-feather	
kricketot-shell	
shinx-fang	
combee-honey	
pachirisu-fur	
buizel-fur	
shellos-mucus	
drifloon-gas	
stunky-fur	
bronzor-fragment	
bonsly-tears	
happiny-dust	
spiritomb-fragment	
gible-scales	
riolu-fur	
hippopotas-sand	
croagunk-poison	
finneon-scales	
snover-berries	
rotom-sparks	
petilil-leaf	
basculin-fang	
sandile-claw	
zorua-fur	
gothita-eyelash	
deerling-hair	
foongus-spores	
alomomola-mucus	
tynamo-slime	
axew-scales	
cubchoo-fur	
cryogonal-ice	
pawniard-blade	
rufflet-feather	
deino-scales	
larvesta-fuzz	
fletchling-feather	
scatterbug-powder	
litleo-tuft	
flabebe-pollen	
skiddo-leaf	
skrelp-kelp	
clauncher-claw	
hawlucha-down	
dedenne-fur	
goomy-goo	
klefki-key	
bergmite-ice	
noibat-fur	
yungoos-fur	
crabrawler-shell	
oricorio-feather	
rockruff-rock	
mareanie-spike	
mudbray-mud	
fomantis-leaf	
salandit-gas	
bounsweet-sweat	
oranguru-fur	
passimian-fur	
sandygast-sand	
komala-claw	
mimikyu-scrap	
bruxish-tooth	
chewtle-claw	
skwovet-fur	
arrokuda-scales	
rookidee-feather	
toxel-sparks	
falinks-sweat	
cufant-tarnish	
rolycoly-coal	
silicobra-sand	
indeedee-fur	
pincurchin-spines	
snom-thread	
impidimp-hair	
applin-juice	
sinistea-chip	
hatenna-dust	
stonjourner-stone	
eiscue-down	
dreepy-powder	
lechonk-hair	
tarountula-thread	
nymble-claw	
rellor-mud	
greavard-wax	
flittle-down	
wiglett-sand	
dondozo-whisker	
veluza-fillet	
finizen-mucus	
smoliv-oil	
capsakid-seed	
tadbulb-mucus	
varoom-fume	
orthworm-tarnish	
tandemaus-fur	
cetoddle-grease	
frigibax-scales	
tatsugiri-scales	
cyclizar-scales	
pawmi-fur	
wattrel-feather	
bombirdier-feather	
squawkabilly-feather	
flamigo-down	
klawf-claw	
nacli-salt	
glimmet-crystal	
shroodle-ink	
fidough-fur	
maschiff-fang	
bramblin-twig	
gimmighoul-coin	
tinkatink-hair	
charcadet-soot	
toedscool-flaps	
wooper-slime	
tm101	
tm102	
tm103	
tm104	
tm105	
tm106	
tm107	
tm108	
tm109	
tm110	
tm111	
tm112	
tm113	
tm114	
tm115	
tm116	
tm117	
tm118	
tm119	
tm120	
tm121	
tm122	
tm123	
tm124	
tm125	
tm126	
tm127	
tm128	
tm129	
tm130	
tm131	
tm132	
tm133	
tm134	
tm135	
tm136	
tm137	
tm138	
tm139	
tm140	
tm141	
tm142	
tm143	
tm144	
tm145	
tm146	
tm147	
tm148	
tm149	
tm150	
tm151	
tm152	
tm153	
tm154	
tm155	
tm156	
tm157	
tm158	
tm159	
tm160	
tm161	
tm162	
tm163	
tm164	
tm165	
tm166	
tm167	
tm168	
tm169	
tm170	
tm171	
picnic-set	
academy-bottle	
polka-dot-bottle	
striped-bottle	
diamond-bottle	
academy-cup	
striped-cup	
polka-dot-cup	
flower-pattern-cup	
academy-tablecloth	
whimsical-tablecloth	
leafy-tablecloth	
spooky-tablecloth	
academy-ball	
marill-ball	
yarn-ball	
cyber-ball	
gold-pick	
silver-pick	
red-flag-pick	
blue-flag-pick	
pika-pika-pick	
winking-pika-pick	
vee-vee-pick	
smiling-vee-pick	
blue-poke-ball-pick	
auspicious-armor	
leaders-crest	
pink-bottle	
blue-bottle	
yellow-bottle	
steel-bottle-r	
steel-bottle-y	
steel-bottle-b	
silver-bottle	
barred-cup	
diamond-pattern-cup	
fire-pattern-cup	
pink-cup	
blue-cup	
yellow-cup	
pikachu-cup	
eevee-cup	
slowpoke-cup	
silver-cup	
exercise-ball	
plaid-tablecloth-y	
plaid-tablecloth-b	
plaid-tablecloth-r	
bw-grass-tablecloth	
battle-tablecloth	
monstrous-tablecloth	
striped-tablecloth	
diamond-tablecloth	
polka-dot-tablecloth	
lilac-tablecloth	
mint-tablecloth	
peach-tablecloth	
yellow-tablecloth	
blue-tablecloth	
pink-tablecloth	
gold-bottle	
bronze-bottle	
gold-cup	
bronze-cup	
green-poke-ball-pick	
red-poke-ball-pick	
party-sparkler-pick	
heroic-sword-pick	
magical-star-pick	
magical-heart-pick	
parasol-pick	
blue-sky-flower-pick	
sunset-flower-pick	
sunrise-flower-pick	
blue-dish	
green-dish	
orange-dish	
red-dish	
white-dish	
yellow-dish	
roto-stick	
teal-style-card	
teal-mask	
glimmering-charm	
crystal-cluster	
wellspring-mask	
hearthflame-mask	
cornerstone-mask	
syrupy-apple	
unremarkable-teacup	
masterpiece-teacup	
health-mochi	
muscle-mochi	
resist-mochi	
genius-mochi	
clever-mochi	
swift-mochi	
fresh-start-mochi	
ekans-fang	
sandshrew-claw	
cleffa-fur	
vulpix-fur	
poliwag-slime	
bellsprout-vine	
geodude-fragment	
koffing-gas	
munchlax-fang	
sentret-fur	
hoothoot-feather	
spinarak-thread	
aipom-hair	
yanma-spike	
gligar-fang	
slugma-lava	
swinub-hair	
poochyena-fang	
lotad-leaf	
seedot-stem	
nosepass-fragment	
volbeat-fluid	
illumise-fluid	
corphish-shell	
feebas-scales	
duskull-fragment	
chingling-fragment	
timburr-sweat	
sewaddle-leaf	
ducklett-feather	
litwick-soot	
mienfoo-claw	
vullaby-feather	
carbink-jewel	
phantump-twig	
grubbin-thread	
cutiefly-powder	
jangmo-o-scales	
cramorant-down	
morpeko-snack	
poltchageist-powder	
linking-cord	
tm172	
tm173	
tm174	
tm175	
tm176	
tm177	
tm178	
tm179	
tm180	
tm181	
tm182	
tm183	
tm184	
tm185	
tm186	
tm187	
tm188	
tm189	
tm190	
tm191	
tm192	
tm193	
tm194	
tm195	
tm196	
tm197	
tm198	
tm199	
tm200	
tm201	
tm202	
tm203	
tm204	
tm205	
tm206	
tm207	
tm208	
tm209	
tm210	
tm211	
tm212	
tm213	
tm214	
tm215	
tm216	
tm217	
tm218	
tm219	
tm220	
tm221	
tm222	
tm223	
tm224	
tm225	
tm226	
tm227	
tm228	
tm229	
lastrange-ball	
lapoke-ball	
lagreat-ball	
laultra-ball	
laheavy-ball	
laleaden-ball	
lagigaton-ball	
lafeather-ball	
lawing-ball	
lajet-ball	
laorigin-ball	
black-augurite	
peat-block	
metal-alloy	
clefablite	
victreebelite	
starminite	
dragoninite	
meganiumite	
feraligite	
skarmorite	
froslassite	
heatranite	
darkranite	
emboarite	
excadrite	
scolipite	
scraftinite	
eelektrossite	
chandelurite	
chesnaughtite	
delphoxite	
greninjite	
pyroarite	
floettite	
malamarite	
barbaracite	
dragalgite	
hawluchanite	
zygardite	
drampanite	
zeraorite	
falinksite	
raichunite-x	
raichunite-y	
chimechite	
absolite-z	
staraptite	
garchompite-z	
lucarionite-z	
golurkite	
meowsticite	
crabominite	
golisopite	
magearnite	
scovillainite	
baxcalibrite	
tatsugirinite	
glimmoranite	
hopo-berry	
roseli-berry	
